"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
637,"NCT00001221","Effect of Biosynthetic Growth Hormone and/or Ethinyl Estradiol on Adult Height in Patients With Turner Syndrome",,"Completed","No Results Available","Gonadal Dysgenesis|Turner's Syndrome","Drug: Growth Hormone (Humatrope)","","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institutes of Health Clinical Center (CC)","Female","Child, Adult, Older Adult","Phase 2","160","NIH","Interventional","Primary Purpose: Treatment","870152|87-CH-0152","September 1987","null","September 2003","November 4, 1999","null","March 4, 2008","National Institute of Child Health and Human Development (NICHD), Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00001221"
638,"NCT00001202","Treatment of Boys With Precocious Puberty",,"Completed","No Results Available","Precocious Puberty","Drug: Spironolactone|Drug: Testolactone|Drug: Deslorelin","","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institutes of Health Clinical Center (CC)","Male","Child, Adult, Older Adult","Phase 2","80","NIH","Interventional","Primary Purpose: Treatment","850016|85-CH-0016","January 1985","null","January 2004","November 4, 1999","null","March 4, 2008","National Institute of Child Health and Human Development (NICHD), Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00001202"
639,"NCT00001181","Testolactone for the Treatment of Girls With LHRH Resistant Precocious Puberty",,"Completed","No Results Available","Polyostotic Fibrous Dysplasia|Precocious Puberty","Drug: Testolactone","","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institutes of Health Clinical Center (CC)","Female","Child, Adult, Older Adult","Phase 2","100","NIH","Interventional","Primary Purpose: Treatment","820165|82-CH-0165","October 1982","null","May 2003","November 4, 1999","null","March 4, 2008","National Institute of Child Health and Human Development (NICHD), Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00001181"
640,"NCT00001180","Dose Response Relationship for Single Doses of Corticotropin Releasing Hormone (CRH) in Normal Volunteers and in Patients With Adrenal Insufficiency",,"Completed","No Results Available","Adrenal Gland Hyperfunction|Adrenal Gland Hypofunction|Cushing's Syndrome|Healthy","Drug: Ovine Corticotropin-Releasing Hormone (oCRH)","","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institutes of Health Clinical Center (CC)","All","Child, Adult, Older Adult","","2250","NIH","Observational","","820045|82-CH-0045","March 1982","null","June 2005","November 4, 1999","null","March 4, 2008","National Institute of Child Health and Human Development (NICHD), Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00001180"
641,"NCT00004341","Study of Genetic and Molecular Defects in Primary Immunodeficiency Disorders",,"Unknown status","No Results Available","X-Linked Agammaglobulinemia|X-Linked Hyper IgM Syndrome|Wiskott-Aldrich Syndrome|Leukocyte Adhesion Deficiency Syndrome","","","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|University of Washington|Office of Rare Diseases (ORD)","All","Child, Adult, Older Adult","","null","NIH|Other","Observational","Primary Purpose: Screening","199/11900|UW-533","July 1995","null","null","October 19, 1999","null","June 24, 2005","University of Washington School of Medicine, Seattle, Washington, United States","","https://ClinicalTrials.gov/show/NCT00004341"
642,"NCT03635775","Single-session tDCS in Cerebral Palsy",,"Recruiting","No Results Available","Cerebral Palsy|Perinatal Stroke|Periventricular Leukomalacia","Device: Active tDCS|Device: Sham tDCS","Change in MEP amplitude|Change in Movement accuracy","University of Minnesota - Clinical and Translational Science Institute|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|University of Minnesota Medical School/University of Minnesota Foundation","All","7 Years to 21 Years   (Child, Adult)","Not Applicable","32","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Basic Science","STUDY00002820|P2CHD086844|K01HD078484","May 1, 2018","June 30, 2019","June 30, 2021","August 17, 2018","null","August 17, 2018","Samuel Nemanich, Minneapolis, Minnesota, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03635775/ICF_000.pdf|""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03635775/Prot_SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03635775"
643,"NCT03124160","Compare Two Copper IUDs: Mona Lisa NT Cu380 Mini and ParaGard",,"Active, not recruiting","No Results Available","Healthy Women|Female Contraception","Drug: Mona Lisa® NT Cu380 Mini|Drug: ParaGard® CuT380A","Pregnancy Rate|IUD continuation at months 12, 24 and 36 as measured by confirmation of IUD placement (visible or palpable)|Failed IUD insertion as measured by inability to place the IUD correctly|Uterine perforation as measured by ultrasound|IUD expulsion (complete and partial)|Vaginal bleeding patterns|Pelvic pain as measured in the subject diary|Dysmenorrhea|Other side effects as measured by adverse and/or other events|Pain with and shortly after insertion as measured by visual analog scale completed by study subjects|Ease of IUD insertion as measured by asking the investigator to assess ease of insertion|Overall product satisfaction as measured by acceptability questions asked of subjects","Health Decisions|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|FHI 360 - IND Holder","Female","16 Years to 40 Years   (Child, Adult)","Phase 3","1000","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other","CCN016","May 26, 2017","May 1, 2021","November 1, 2021","April 21, 2017","null","March 12, 2019","Essential Access Health, Los Angeles, California, United States|University of California, Davis, Sacramento, California, United States|University of California, San Francisco, San Francisco, California, United States|University of Colorado, Denver, Colorado, United States|University of Hawaii, Honolulu, Hawaii, United States|Johns Hopkins University, Baltimore, Maryland, United States|Boston Medical Center Corporation, Boston, Massachusetts, United States|Planned Parenthood League of Massachusetts, Boston, Massachusetts, United States|Planned Parenthood of New York, New York, New York, United States|Columbia University, New York, New York, United States|University of Cincinnati, Cincinnati, Ohio, United States|Oregon Health & Science University, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|University of Utah, Salt Lake City, Utah, United States|Eastern Virginia Medical School, Norfolk, Virginia, United States","","https://ClinicalTrials.gov/show/NCT03124160"
644,"NCT02993861","Pharmacokinetics of Anti-epileptic Drugs in Obese Children",,"Recruiting","No Results Available","Epilepsy|Obese","Other: Anti-epileptics","Steady-state pharmacokinetics area under the curve|Steady-state pharmacokinetics maximum concentration|Steady-state pharmacokinetics time to reach maximum concentration|Steady-state pharmacokinetics oral apparent volume of distribution|Steady-state pharmacokinetics half life|Steady-state pharmacokinetics oral apparent clearance|Steady-state pharmacokinetics absorption rate constant|Serious adverse events","Christoph P Hornik, MD MPH|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|The EMMES Corporation|Duke University","All","2 Years to 18 Years   (Child, Adult)","","96","Other|NIH|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","Pro00070924","December 9, 2016","September 2019","September 2019","December 15, 2016","null","December 27, 2018","The Children's Hospital Colorado, Aurora, Colorado, United States|Nemours Alfred I. DuPont Hospital for Children, Wilmington, Delaware, United States|Childrens Healthcare of Atlanta, Atlanta, Georgia, United States|Ann and Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|University of Louisville Norton Childrens Hospital, Louisville, Kentucky, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Duke University Health System, Durham, North Carolina, United States|Coastal Children's Services, Wilmington, North Carolina, United States|Oregon Health and Science University, Portland, Oregon, United States|University of Texas Southwestern Medical Center Dallas, Dallas, Texas, United States","","https://ClinicalTrials.gov/show/NCT02993861"
645,"NCT03660046","Hormonal Contraceptive Methods on Immunologic Changes in the Female Genital Tract (FGT) and Systemically",,"Recruiting","No Results Available","Hormonal Contraception","Drug: Depot medroxyprogesterone acetate (DMPA)|Drug: Etonogestrel implant (Eng-Implant)|Drug: Levonorgestrel IUD (Lng-IUD)","Change in mean total leukocytes and CD4+ T-cells expressing CCR5 in the lower female genital tract (FGT) among the three intervention groups pre and post contraception|Change in Nugent's score among the three intervention groups pre and post contraception|Percent of expression of 16S rRNA gene sequencing among the three intervention groups pre and post contraception","Emory University|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","up to 45 Years   (Child, Adult)","","225","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB00104017|R01HD095741-01A1","December 7, 2018","September 2023","September 2023","September 6, 2018","null","February 28, 2019","Grady Health System, Atlanta, Georgia, United States|The Emory Clinic, Bldg A., 2nd Floor, 1365 Clifton Road, NE, Atlanta, Georgia, United States|Atlanta Women's Center, Atlanta, Georgia, United States","","https://ClinicalTrials.gov/show/NCT03660046"
646,"NCT02041923","Feeding and Transition to Home for Preterms at Social Risk","H-HOPE","Completed","No Results Available","Premature Birth","Behavioral: H-HOPE","Infant Behavioral Organization|Maternal Outcomes|Mother-Infant Interaction|Infant Growth|Health care cost|Infant development","University of Illinois at Chicago|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Nursing Research (NINR)","All","up to 45 Years   (Child, Adult)","Not Applicable","230","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","2005-0139|1R01HD050738","January 2007","October 2012","June 2013","January 22, 2014","null","January 22, 2014","Mercy Hospital and Medical Center, Chicago, Illinois, United States|Mount Sinai Medical Center, Chicago, Illinois, United States","","https://ClinicalTrials.gov/show/NCT02041923"
647,"NCT03501264","Evaluation of an Online Intervention to Help LGBTQ Youth Cope With Bullying",,"Active, not recruiting","No Results Available","Bullying of Child","Behavioral: Online Game|Behavioral: LGBTQ Resources","Number of Participants With Changes in Help Seeking Scores","University of Pittsburgh|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","14 Years to 18 Years   (Child, Adult)","Not Applicable","480","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","PRO17060347|5R21HD083561-02","April 17, 2018","May 1, 2019","May 1, 2019","April 17, 2018","null","March 26, 2019","University of Pittsburgh, Pittsburgh, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT03501264"
648,"NCT03495388","PG and PK of Oxycodone to Personalize Post-op Pain Management Following Surgery in Children",,"Recruiting","No Results Available","Postoperative Pain|Opioid Dependence","","Look at genetic factors predisposing children to immediate postoperative opioid-adverse effects (RD and PONV).|Look at genetic factors predisposing children to inadequate surgical pain relief with oxycodone.|Look at the impact of CYP2D6 variants on oxycodone's clinical dosing in children to see if specific variants correlate with a need for lower or higher doses of analgesic.","Indiana University|Children's Hospital Medical Center, Cincinnati|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","8 Years to 18 Years   (Child, Adult)","","500","Other|NIH","Observational","Observational Model: Other|Time Perspective: Prospective","1707525204|7R01HD089458-02","April 1, 2018","March 2020","March 2022","April 12, 2018","null","October 24, 2018","Riley Hospital for Children, Indianapolis, Indiana, United States","","https://ClinicalTrials.gov/show/NCT03495388"
649,"NCT03282565","Functional Resistance Training to Improve Knee Function After ACL Reconstruction",,"Recruiting","No Results Available","Anterior Cruciate Ligament Injury","Other: Functional Resistance Training|Other: Control","Changes in quadriceps muscle strength|Changes in quadriceps voluntary activation|Knee flexion angle symmetry|Knee flexion moment symmetry","University of Michigan|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","14 Years to 40 Years   (Child, Adult)","Not Applicable","45","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HUM00133860|R21HD092614","March 17, 2018","November 2020","November 2020","September 14, 2017","null","March 14, 2019","University of Michigan, Ann Arbor, Michigan, United States","","https://ClinicalTrials.gov/show/NCT03282565"
650,"NCT03098329","Check it: A New Approach to Controlling Chlamydia Transmission in Young People",,"Recruiting","No Results Available","Chlamydia Trachomatis Infection|Gonorrhea","Other: Ct/GC screening","Rate of chlamydia in women|Rate of gonorrhea in women","Tulane University|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Male","15 Years to 24 Years   (Child, Adult)","Not Applicable","4854","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Screening","16-964337|1R01HD086794-01A1","May 22, 2017","April 1, 2022","December 31, 2022","March 31, 2017","null","September 12, 2018","Tulane University School of Public Health and Tropical Medicine, New Orleans, Louisiana, United States","","https://ClinicalTrials.gov/show/NCT03098329"
651,"NCT03080402","Mechanical Perturbation Training for ACL Injury Prevention",,"Unknown status","No Results Available","Anterior Cruciate Ligament Injury|ACL","Device: Mechanical Perturbation Training","Peak knee abduction moment|Peak Quadriceps torque 60 degrees/sec|Peak Quadriceps torque 240 degrees/sec|Peak Hamstrings torque 60 degrees/sec|Peak Hamstrings torque 240 degrees/sec|Single hop for distance LSI|Crossover hop for distance LSI|Triple hop for distance LSI|6m Timed Hop LSI","University of Delaware|Simbex, LLC|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","15 Years to 30 Years   (Child, Adult)","Not Applicable","24","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","R44HD068054|5R44HD068054","February 20, 2017","December 31, 2017","December 31, 2017","March 15, 2017","null","March 15, 2017","University of Delaware, Physical Therapy Department, Newark, Delaware, United States","","https://ClinicalTrials.gov/show/NCT03080402"
652,"NCT01627574","Contraceptive Awareness and Reproductive Education",,"Completed","No Results Available","Pregnancy|Sexually Transmitted Infections","Behavioral: Motivational Intervention|Behavioral: Didactic Educational Intervention","Timeline Followback (TLFB): Contraceptive, sexual and substance-related risk behaviors will be measured via a calendar recall for both interventions.|Urine Collection for STI Testing|Urine Collection for Pregnancy Testing","University of Rhode Island|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Brown University","Female","14 Years to 21 Years   (Child, Adult)","Not Applicable","272","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","HD065942|R01HD065942","August 2012","June 30, 2018","June 30, 2018","June 26, 2012","null","September 11, 2018","Juvenile Probation, Cranston, Rhode Island, United States","","https://ClinicalTrials.gov/show/NCT01627574"
653,"NCT01572532","Maternal Genitourinary Infections and Adverse Perinatal Outcomes",,"Unknown status","No Results Available","Maternal Infection Affecting Newborn","Other: Screening treatment and referral","Number of preterm births reduced by community-based screening and treatment of abnormal vaginal flora and urinary tract infections in early pregnancy (13-19 weeks)|Proportion of early outcomes|Proportion of infants with neonatal sepsis|Prevalance abnormal vaginal flora|Accuracy of diagnostic tests for detecting bacterial vaginosis","Johns Hopkins Bloomberg School of Public Health|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|United States Agency for International Development (USAID)","All","up to 47 Years   (Child, Adult)","Phase 3","9000","Other|NIH|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB00003063|1R01HD066156-01","August 2010","May 2015","May 2015","April 6, 2012","null","August 20, 2014","Community Based, Sylhet, Bangladesh","","https://ClinicalTrials.gov/show/NCT01572532"
654,"NCT02913222","Movement Pattern Training in People With Intra-articular, Prearthritic Hip Disorders",,"Active, not recruiting","No Results Available","Chronic Hip Joint Pain|Prearthritic Hip Disease","Other: Rehabilitation","Percentage of participants who are adherent to treatment attendance|Improvement in function using the Hip disability and Osteoarthritis Outcome Score (HOOS) Activities in Daily Living subscale|Improvement in Hip disability and Osteoarthritis Outcome Score (HOOS) Symptoms subscale","Washington University School of Medicine|University of Pittsburgh|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","15 Years to 40 Years   (Child, Adult)","Not Applicable","46","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R21HD086644-01A1-201609106|R21HD086644-01A1","February 4, 2017","December 12, 2018","December 2019","September 23, 2016","null","February 15, 2019","Program in Physical Therapy, Washington University, Saint Louis, Missouri, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT02913222"
655,"NCT01431326","Pharmacokinetics of Understudied Drugs Administered to Children Per Standard of Care","PTN_POPS","Recruiting","No Results Available","Adenovirus|Anesthesia|Anxiety|Anxiolysis|Autism|Autistic Disorder|Bacterial Meningitis|Bacterial Septicemia|Benzodiazepine|Bipolar Disorder|Bone and Joint Infections|Central Nervous System Infections|Convulsions|Cytomegalovirus Retinitis|Early-onset Schizophrenia Spectrum Disorders|Epilepsy|General Anesthesia|Gynecologic Infections|Herpes Simplex Virus|Infantile Hemangioma|Infection|Inflammation|Inflammatory Conditions|Intra-abdominal Infections|Lower Respiratory Tract Infections|Migraines|Pain|Pneumonia|Schizophrenia|Sedation|Seizures|Skeletal Muscle Spasms|Skin and Skin-structure Infections|Treatment-resistant Schizophrenia|Urinary Tract Infections|Withdrawal|Sepsis|Gram-negative Infection|Bradycardia|Cardiac Arrest|Cardiac Arrhythmia|Staphylococcal Infections|Nosocomial Pneumonia|Neuromuscular Blockade|Methicillin Resistant Staphylococcus Aureus|Endocarditis|Neutropenia|Headache|Fibrinolytic Bleeding|Pulmonary Arterial Hypertension|CMV Retinitis|Hypertension|Chronic Kidney Diseases|Hyperaldosteronism|Hypokalemia|Heart Failure|Hemophilia|Heavy Menstrual Bleeding|Insomnia","Drug: The POPS study is collecting PK data on children prescribed the following drugs of interest per standard of care:","Composite of pharmacokinetic outcomes for understudied drugs in children|Composite pharmacodynamic outcomes of understudied drugs in children|Biomarkers associated with understudied drugs in children","Daniel Benjamin|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|The EMMES Corporation|Duke University","All","up to 21 Years   (Child, Adult)","","10000","Other|NIH|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","Pro00029638|IND 113645|IND 114369|IND 114531|IND 118358|HHSN20100006|HHSN27500020|HHSN27500027|HHSN27500043|HHSN27500049","November 2011","February 2020","February 2020","September 9, 2011","null","April 4, 2019","Alaska Native Medical Center, Anchorage, Alaska, United States|Arkansas Children's Hospital, Little Rock, Arkansas, United States|University of California at San Diego Medical Center, La Jolla, California, United States|Axis Clinical Trials, Los Angeles, California, United States|University of California, Los Angeles Medical Center, Los Angeles, California, United States|The Children's Hospital Colorado, Aurora, Colorado, United States|Yale New Haven Children's Hospital, New Haven, Connecticut, United States|Alfred I. DuPont Hospital for Children, Wilmington, Delaware, United States|Children's National Medical Center, Washington, District of Columbia, United States|University of Florida Jacksonville Shands Medical Center, Jacksonville, Florida, United States|Kapiolani Womens and Childrens Medical Center, Honolulu, Hawaii, United States|Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Riley Hospital for Children at Indiana University, Indianapolis, Indiana, United States|University of Kansas Medical Center, Fairway, Kansas, United States|Children's Mercy Hospital and Clinics, Kansas City, Kansas, United States|Wesley Medical Center, Wichita, Kansas, United States|Norton Children's Hospital, Louisville, Kentucky, United States|Tulane University Health Science Center, New Orleans, Louisiana, United States|Ochsner Baptist Clinical Trials Unit, New Orleans, Louisiana, United States|University of Maryland, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Children's Mercy Hospitals and Clinics, Kansas City, Missouri, United States|University of Montana, Missoula, Montana, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|University of New Mexico, Health Sciences Center, Albuquerque, New Mexico, United States|Kravis Children's Hospital at Mt. Sinai, New York, New York, United States|UNC Hospital Neonatal-Perinatal Medicine, Chapel Hill, North Carolina, United States|Duke University Medical Center (PICU / NICU), Durham, North Carolina, United States|Cincinnati Childrens Hospital Medical Center, Cincinnati, Ohio, United States|Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Akron Children's Hospital, Cleveland, Ohio, United States|Board of Regents of the University of Oklahoma, Oklahoma City, Oklahoma, United States|Oregon Health and Science University, Portland, Oregon, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Medical University of South Carolina, Charleston, South Carolina, United States|University of South Carolina, Columbia, South Carolina, United States|Monroe Carell Jr. Children's Hospital at Vanderbilt, Nashville, Tennessee, United States|University of Utah Hospitals and Clinics, Salt Lake City, Utah, United States|University of Vermont Medical Center, Burlington, Vermont, United States|University of Virginia Children's Hospital, Charlottesville, Virginia, United States|Seattle Children's Hospital, Seattle, Washington, United States|West Virginia University Hospital, Morgantown, West Virginia, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Kids Research Institute, Randwick, New South Wales, Australia|Royal Children's Hospital, Parkville, Victoria, Australia|Manitoba Institute of Child Health, Winnipeg, Manitoba, Canada|Children's Hospital of Eastern Ontario, Ottawa, Ontario, Canada|The Hospital for Sick Children, Toronto, Ontario, Canada|Hospital Sainte-Justine, Montreal, Quebec, Canada|Assaf Harofeh Medical Center, Zerifin, Tel Aviv, Israel|Schneider Children's Medical Center of Israel, Petah Tikva, Israel|KK Women's and Children's Hospital Pte Ltd, Singapore, Singapore|Southampton General Hospital, Southampton, Hampshire, United Kingdom|Alder Hey Children's Hospital, Liverpool, Merseyside, United Kingdom|University of Bristol, Bristol, United Kingdom","","https://ClinicalTrials.gov/show/NCT01431326"
656,"NCT01421797","Evaluation of Adrenal Androgens in Normal and Obese Girls After Suppression and Stimulation",,"Recruiting","No Results Available","Hyperandrogenemia|Polycystic Ovary Syndrome|Obesity","Drug: Dexamethasone|Drug: Cortrosyn","Change in progesterone concentrations from the 2100-2300 time block to the 0500-0700 time block in normal weight girls compared to overweight girls.|Overnight changes in male and female hormones in response to ACTH suppression|Response to ACTH stimulation in normal weight and overweight girls","University of Virginia|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|University of California, San Diego","Female","7 Years to 18 Years   (Child, Adult)","Not Applicable","84","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","12702|JCM022|U54HD028934-18","October 10, 2006","March 27, 2019","March 2022","August 23, 2011","null","July 18, 2018","University of Virginia Center for Research in Reproduction, Charlottesville, Virginia, United States","","https://ClinicalTrials.gov/show/NCT01421797"
657,"NCT02488109","Study of Refeeding to Optimize iNpatient Gains","StRONG","Enrolling by invitation","No Results Available","Anorexia Nervosa","Other: Higher Calorie Refeeding|Other: Lower Calorie Refeeding","time to achieve clinical remission|time to achieve medical stability in hospital","University of California, San Francisco|Stanford University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","12 Years to 24 Years   (Child, Adult)","Not Applicable","120","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","P0504491|1R01HD082166-01A1","February 2016","July 2019","July 2020","July 2, 2015","null","May 3, 2018","Stanford University Lucille Packard Children's Hospital, Palo Alto, California, United States|University of California, San Francisco Benioff Children's Hospital, San Francisco, California, United States","","https://ClinicalTrials.gov/show/NCT02488109"
658,"NCT02455388","d13C Added Sugar Intake Biomarker: Determining Validity in Children",,"Completed","Has Results","Validation Studies","Dietary Supplement: High added sugar diet|Dietary Supplement: Low added sugar diet","delta13C Added Sugar Biomarker|Change in d13C: delta13C Added Sugar Biomarker|Diagnostic Value of d13C Biomarker","Virginia Polytechnic Institute and State University|University of Hawaii|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","6 Years to 18 Years   (Child, Adult)","Not Applicable","370","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","1R21HD078636-01A1|R21HD078636","April 2014","July 2016","February 2018","May 27, 2015","July 27, 2018","February 26, 2019","Virginia Tech, Blacksburg, Virginia, United States","","https://ClinicalTrials.gov/show/NCT02455388"
659,"NCT02011711","Modulation of Immunity by Hormonal Contraceptives",,"Completed","No Results Available","Contraception","","Change in ectocervical permeability","Thomas L. Cherpes|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Stanford University","Female","15 Years to 25 Years   (Child, Adult)","","90","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","2013H0235|R01HD072663","November 2013","December 2016","December 2016","December 13, 2013","null","January 16, 2017","Edwards Building, Stanford, California, United States","","https://ClinicalTrials.gov/show/NCT02011711"
660,"NCT01967849","Prevalence of Carbohydrate Intolerance in Lean and Overweight/Obese Children",,"Recruiting","No Results Available","Obesity|Type 2 Diabetes","Diagnostic Test: Oral Glucose tolerance test","Glucose Tolerance|Insulin resistance","Yale University|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","7 Years to 21 Years   (Child, Adult)","Not Applicable","2000","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","11190|R01HD040787","September 1999","September 2021","September 2021","October 23, 2013","null","December 7, 2017","Yale University, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01967849"
661,"NCT01945957","Brain Imaging of Intranasal Oxytocin Treatment in Autism",,"Completed","No Results Available","Autism Spectrum Disorders","Drug: Oxytocin","Aim 1a. fMRI Activation Analysis/Connectivity|Aim 1b. Proportion of Time Attending to Social Stimuli (Eye Tracking)|Plasma Oxytocin (OT) levels in aim 1b. and 2b.|Salivary Oxytocin (OT) levels for all aims.|SRS-Social Responsiveness Scale|Pervasive Developmental Disorders Behavior Inventory-Screening Version (PDDBI-SV)|ABC-lethargy/social withdrawal subscale","University of North Carolina, Chapel Hill|Duke University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","6 Years to 18 Years   (Child, Adult)","Phase 1","33","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Other","12-2622|U54HD079124-01","September 2014","January 2017","January 2017","September 19, 2013","null","April 25, 2017","The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States","","https://ClinicalTrials.gov/show/NCT01945957"
662,"NCT01901978","Study to Investigate Benefits of Weight Loss in Young Adults and Adolescents",,"Active, not recruiting","No Results Available","Obesity|Insulin Resistance","Behavioral: Caloric restrictive diet","Abdominal fat re-distribution with weight loss|Adipocyte cell size distrubtion and gene expression","Yale University|National Institutes of Health (NIH)|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","16 Years to 32 Years   (Child, Adult)","Not Applicable","40","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","1007007067|R01HD040787","May 2011","July 2014","August 2018","July 17, 2013","null","January 17, 2018","Yale University, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01901978"
